firstname,rightname,first_location,second_location,third_location,phone,link
SCHUH OKAY,Top Partner,Bekleidung,"Altstadt 15,",49525 Lengerich Westfalen,,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Am Markt 12,",41515 Grevenbroich,02181 7 04 52 20,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Bachstraße 16,",59590 Geseke,02942 9 77 67 63,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Bahnhofstraße 22,",33378 Rheda‑Wiedenbrück,05242 5 94 78 66,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Bergstraße 8,",32791 Lage Lippe,05232 6 91 45 25,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Berliner Platz 2,",46395 Bocholt,02871 2 18 86 62,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Breslauer Straße 46,",32339 Espelkamp,05772 9 36 21 00,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Burgstraße 37,",33142 Büren,02951 9 35 23 52,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Engerstraße 41,",47906 Kempen,02152 8 97 72 40,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Freckenhorster Straße 8,",48231 Warendorf,02581 7 81 83 14,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Grubestraße 2,",37671 Höxter,05271 6 95 71 85,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Joseph‑schneider‑straße 1,",65549 Limburg an der Lahn,06431 2 11 90 55,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Kaßstraße 38,",46446 Emmerich am Rhein,02822 9 14 08 48,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Kolbeplatz 9,",33330 Gütersloh,05241 2 10 31 86,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Kolpingstraße 10,",42551 Velbert,02051 8 02 70 76,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Konrad‑adenauer‑straße 162,",52511 Geilenkirchen,02451 9 14 34 74,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Kreisstraße 40,",59379 Selm,02592 9 18 39 83,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Lipplinger Straße 3,",33129 Delbrück Westfalen,05250 93 62 31,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Marktstraße 1,",49477 Ibbenbüren,05451 50 20 21,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Marktstraße 56,",48268 Greven Westfalen,02571 58 28 08,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Marler Stern 59,",45768 Marl,02365 6 99 05 01,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Neuenhauser Straße 9,",48529 Nordhorn,05921 3 82 99,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Plettenberger Straße 46,",49324 Melle,05422 9 62 13 03,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Rekumer Straße 54,",45721 Haltern am See,02364 16 70 26,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Tom‑rinck‑straße 6,",59302 Oelde,02522 8 30 71 18,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Voßstraße 56,",47574 Goch,02823 9 29 42 84,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Westwall 1,",47608 Geldern,02831 1 32 19 91,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
Vetter's Container Service GmbH,Top Partner,Containerdienste,"Feldbergstr. 4,",61231 Bad Nauheim,06032 9 10 10,
Aachener-Papierverwertung & Containerdienst Horsch GmbH & Co. KG,Top Partner,Containerdienste,"Weißwasserstr. 27,",52068 Aachen,0241 95 89 50,http://www.horsch.de
Autoverwertung Blankenburg GmbH,Top Partner,Autoverwertung,"Fuldastr. 34,",26135 Oldenburg (Oldenburg),0441 20 35 46,http://www.schrotti.com
Baumann Guido Entsorgung,Top Partner,Entsorgungsbetriebe,"Schnellermaarstr. 54b,",50354 Hürth,02233 93 48 40,https://baumann-entsorgung.de/
BLR Bauunternehmung GmbH,Top Partner,Garten- und Landschaftsbau,"An der Schluse 135,",48329 Havixbeck,02507 98 65 84,http://www.blr-bau.de
Blum Josef,Top Partner,Containerdienste,"Berg 10,",52382 Niederzier,02428 26 34,http://www.gebruederblum.de
Containerdienst von Birgelen Entsorgungsdienstl. GmbH & Co. KG,Top Partner,Containerdienste,"End 29,",52525 Heinsberg,02452 84 04,http://www.containerbestellung24.de
Kühn Uwe Tiefbau/ Transporte/ Container,Top Partner,Tiefbau,"Schandauer Str. 136,",01824 Gohrisch,035021 6 81 26,
Lausen Mineralöl-und Schmierstoffhandel GmbH,Top Partner,Mineralöle,"Grüner Weg 24,",33098 Paderborn,05251 75 00 77,http://www.lausen-entsorgt.de
Löher Willy Containerdienst,Top Partner,Containerdienste,"Industriestr. 73,",51399 Burscheid,02174 6 13 12,http://www.loeher-containerdienst.de
Moosdruck Druckerei,Top Partner,Druckereien,"Kölner Str. 63A,",51379 Leverkusen,02171 2 77 86,http://www.moosdruck.com
REMONDIS GmbH & Co. KG (Region Süd),Top Partner,Entsorgungsbetriebe,"Pasteurstr. 22,",80999 München,089 8 92 17-0,http://www.alba-online.de
Steinhauser Transporte GmbH & Co.KG,Top Partner,Transporte,"Rauenberger Str. 1A,",68789 St. Leon‑Rot,06227 5 94 88,http://www.steinhauser-transporte.de
B.K.R. Beelitzer Kies und Recycling GmbH,Top Partner,Baumaschinenvermietung,"Kleine Feldstr.,",15806 Zossen,03377 33 50 20,http://www.erdtrans.de
"Dietrich GmbH & Co. KG Transporte, Baustoffhandel, Recycling",Top Partner,Transporte,"Untere Hauptstr. 26,",01774 Klingenberg,035202 42 17,
Wertstoffaufbereitung GmbH,Top Partner,Wertstoffhöfe,"Der Hutdeckel,",06528 Edersleben,03464 67 12-0,
ABC SCHUHE,Top Partner,Bekleidung,"Hauskampstraße 25,",48712 Gescher,,https://www.abc-schuhe.com?utm_source=extnet&utm_medium=yext
SCHUH OKAY,Top Partner,Bekleidung,"Lookenstraße 18,",49808 Lingen (Ems),,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
TIN SPIRIT,Top Partner,Kunstgewerbe,"Gottesauer Str. 8,",76131 Karlsruhe,0721 6 09 53 10,http://www.tin-spirit.de
A. Tenzer GmbH & Co KG,Top Partner,Containerdienste,"Gladbacher Str. 37,",52525 Heinsberg,02452 95 01-0,http://www.tenzer.de
EGN Entsorgungsgesellschaft Niederrhein mbH,Top Partner,Entsorgungsbetriebe,"Bruchfeld 33,",47809 Krefeld,02151 5 82-4 26,
EGN Entsorgungsgesellschaft Niederrhein mbH,Top Partner,Container,"Bruchfeld 33,",47809 Krefeld,02151 5 82-4 10,
EGN Entsorgungsgesellschaft Niederrhein mbH,Top Partner,Entsorgungsbetriebe,"Greefsallee 1‑5,",41747 Viersen,02162 3 76 47 88,
EGN Entsorgungsgesellschaft Niederrhein mbH,Top Partner,Entsorgungsbetriebe,"Lövelinger Str. 101,",41472 Neuss,02131 8 87 77,
"Fontaine Matthias, Susanne",Top Partner,Schrott,"Am Spielgarten 10,",53773 Hennef (Sieg),02242 8 28 38,http://www.matthias-fontaine.de
Gebr. Hesse GbR,Top Partner,Bauunternehmen,,51580 Reichshof,02261 5 17 53,http://www.hesse-gbr.de
Glees & Auge GmbH Kiesgroßhandel,Top Partner,Sand und Kies,"Borsigstr. 1,",41469 Neuss,02137 20 60,
Haibel Jakob GmbH & Co. Entsorgung KG,Top Partner,Entsorgungsbetriebe,"Im Farchet 6,",83646 Bad Tölz,08041 78 84 18,http://www.haibel-entsorgung.de
Henseler Container-Dienst,Top Partner,Containerdienste,"Steinweg 17,",51107 Köln,0221 9 86 34 86,http://www.containerdienst-henseler.de
Hermann Nottenkämper GmbH & Co. KG,Top Partner,Container,"Eichenallee 1,",46569 Hünxe,02853 9 56 90-0,
Kaminski & Sohn GbR,Top Partner,Container,"Auerbacher Str. 70A,",08107 Kirchberg,0172 9 99 83 02,
Kolhöfer Werner GmbH & Co. Baustoffwerk u. Maschinenverm. KG,Top Partner,Sand und Kies,"Buchloer Str. 8,",86899 Landsberg am Lech,08191 32 09-0,http://rkumwelt.de
Kraft Uwe und Steffi,Top Partner,Zimmereien,"Holzinger Hauptstr. 32,",91781 Weißenburg,09141 92 32 39,
Krönert Andy Containerdienst & Metallhandel,Top Partner,Container,"Am Gewerbepark 9,",09575 Eppendorf,037293 79 36 06,
RAVOS  Abbruch & Containerdienst,Top Partner,Containerdienste,"Am Heideberg 36,",50354 Hürth,02233 9 49 07 46,http://www.ravos.de
Schmitz Reiner Containerdienst,Top Partner,Containerdienste,"Zaunstr. 12,",50181 Bedburg,02463 74 90,http://www.schmitz-entsorgung.de
Schwind-Bau GmbH Transporte,Top Partner,Bauunternehmen,"Kalkstr. 150,",51377 Leverkusen,0214 8 75 60,http://www.schwind-leverkusen.de
Sedlmaier Anton GmbH,Top Partner,Transporte,"Petersbrunner Str. 4A,",82319 Starnberg,08151 8 98 33,http://www.sedlmaier-gmbh.de
"Sedlmaier GmbH, Anton",Top Partner,Transporte,"Petersbrunner Str. 4A,",82319 Starnberg,,http://www.sedlmaier-gmbh.de
"Stehnke Bauunternehmung GmbH & Co., Gottfried",Top Partner,Bauunternehmen,"Wachmannstr. 33,",28209 Bremen,0421 34 29 38,http://www.stehnke.de
"Steil GmbH, Theo Schrott- und Metallgroßhandel",Top Partner,Schrott,"Alfred‑Schütte‑Allee 20,",50679 Köln,0221 88 98 60,http://www.steil.de
Stephan Uhl GmbH,Top Partner,Bauunternehmen,"Große Bauerngasse 78,",91315 Höchstadt,09193 63 43-3,
Strack Paul Garten- und Landschaftsbau,Top Partner,Garten- und Landschaftsbau,"Ellernstr. 7,",50374 Erftstadt,02235 6 71 29,http://www.gartenbau-strack.de
T. u. E. Erdbau GmbH,Top Partner,Erdbau,"Hauptstr. 45,",08459 Neukirchen/Pleiße,0172 7 98 82 59,
Thomas Gola Hoch- und Tiefbau GmbH,Top Partner,Bauunternehmen,"Auerstr. 4A,",01640 Coswig,0172 3 46 05 28,
USG Umwelt Service GmbH,Top Partner,Umweltschutzberatung und -untersuchungen,"Steinbrink 4,",42555 Velbert,0172 2 13 89 11,
Huber Albrecht Umwelt- u. Entsorgungspartner GmbH,Top Partner,Umweltschutzberatung und -untersuchungen,"Oberweg Nord 1,",82216 Maisach,08142 29 67-0,http://www.containerdienst-ffb.de
ESA Entsorgungsservice Ackermann GmbH & Co. KG Recycling,Top Partner,Entsorgungsbetriebe,"Schmaleich 5,",89564 Nattheim,07321 3 05 45-0,
Reisinger Waldtraut,Top Partner,Schrott,"Edelham 60,",84550 Feichten,08634 74 75,
Landratsamt,Top Partner,Behörden,"Papst‑Benedikt‑XVI.‑Platz,",83278 Traunstein,0861 58-0,http://www.traunstein.bayern
Landratsamt,Top Partner,Bauämter,"Papst‑Benedikt‑XVI.‑Platz,",83278 Traunstein,0861 58-0,http://www.traunstein.bayern
B + R Baustoffhandel und Recycling Düsseldorf Neuss GmbH,Top Partner,Baubedarf,"Dieselstr. 80,",42489 Wülfrath,02058 92 54-0,
Bader u. Mannsfeld Entsorgung Recycling,Top Partner,Entsorgungsbetriebe,"Graf‑Arco‑Str. 17,",89079 Ulm,,
H.P. Arbiter Recycling & Logistik International GmbH,Top Partner,Entsorgungsbetriebe,"Brunnenstr. 11,",16303 Schwedt/Oder,03332 83 48 19,
Porta Baustoff-u. Recycling GmbH Co.KG Baustoffbetrieb,Top Partner,Baubedarf,"Vennebecker Str. 50,",32457 Porta Westfalica,05731 1 54 69 30,
S&R Schüttgut und Recycling Logistik GmbH,Top Partner,Dienstleistungen,"Eisenbahnstr. 138,",72072 Tübingen,07071 9 20 87 70,
SEW Systemtechnik für Energie-recycling u. Wärmefluss GmbH,Top Partner,Energieberatung,"Henriettenweg 1,",72072 Tübingen,07071 15 79 78,
B + R Baustoff-Handel und Recycling Hafen-Düsseldorf GmbH,Top Partner,Baubedarf,"Wesermünder Str. 15,",40221 Düsseldorf,0211 3 90 99-0,
BHR Baumaschinenbetrieb Handel mit Baustoffen und Maschinen Recycling GmbH,Top Partner,Baumaschinen und -geräte,"Bismarckstr. 36,",52066 Aachen,0241 53 67 67,
GWV Gesellschaft für Wertstoff-Verwertung mbH Entsorgung und Recycling,Top Partner,Entsorgungsbetriebe,"Rainwiesen 2,",71686 Remseck am Neckar,07141 8 68 25,
PB KlickandRide*Recycling*Reitsportzubehör UG (haftungsbeschränkt) & Co. KG,Top Partner,Reitsportbedarf,"Am Meisenkothen 4,",42579 Heiligenhaus,02056 92 82 81,
Reha GmbH Kunststoff-Recycling und Handel mit umweltorientierten Produkten,Top Partner,Kunststoffbe- und -verarbeitung,"An der Mommel 11,",98596 Brotterode‑Trusetal,036840 8 84-0,http://www.reha-gmbh.de
AVG Abfallentsorgungs- und Verwertungsgesellschaft Köln mbH,Top Partner,Abfallentsorgung,"Geestemünder Straße 23,",50735 Köln,0221 7 17 00,https://www.avgkoeln.de/
Containerdienst Wagner GmbH,Top Partner,Betriebs- und Lagereinrichtungen,"Seilerstraße 21,",44147 Dortmund,0231 17 00 41,http://www.containerdienst-wagner.de
Drewer Autoverwertungs- und Handelsgesellschaft mbH,Top Partner,Mechanische Werkstätten,"Werningshof 26,",33719 Bielefeld,0521 33 21 88,http://drewer-autoverwertung.de
Schönmackers Umweltdienste GmbH & Co. KG,Top Partner,Entsorgungsbetriebe,"Hooghe Weg 1,",47906 Kempen,02152 2 07-0,
Beuschlein Entsorgungsfachbetrieb GmbH Container,Top Partner,Container,"Alandsgrund 17,",97074 Würzburg,0931 7 20 30,
Datzer August,Top Partner,Transporte,"Feldkirchener Str. 9,",85622 Weißenfeld,089 9 03 22 41,
Poncet Horst,Top Partner,Alt- und Abfallstoffe,"Dorfstr. 33,",82418 Hofheim,08847 2 64,
Wild Thomas,Top Partner,Metallbau,"Reuboldstr. 10,",63937 Weilbach,09373 2 06 33 29,
Wild Thomas,Top Partner,Container,"Reuboldstr. 10,",63937 Weilbach,0151 15 53 61 35,
ZBZ Autorecycling GmbH,Top Partner,Autoverwertung,"Badenheimer Str. 19,",55576 Sprendlingen,06701 96 16 84,
Aicher Max Recycling GmbH,Top Partner,Schrott,,90451 Nürnberg,,
Reiner Wertstoff Recycling GmbH,Top Partner,Wertstoffhöfe,,86874 Tussenhausen,,
Göde Umzüge GmbH & Co. KG,Top Partner,Umzüge,"Hauptstr. 106,",97851 Rothenfels,0171 1 44 41 48,
Göde Umzüge GmbHCoKG,Top Partner,Umzüge,"Hauptstr. 106,",97851 Rothenfels,09393 99 30 58-0,
Süsin Abbruch GmbH,Top Partner,Abbrucharbeiten,"Dieburger Straße 10,",64850 Schaafheim,06073 6 10 16 70,http://www.suesin-abbruch.de/
ALBA Heilbronn-Franken GmbH & Co. KG,Top Partner,Entsorgungsbetriebe,"Benzstr. 17,",74076 Heilbronn,07131 95 20-0,
H.P. Arbiter Recycling & Logistik International GmbH Rohstoffhandel,Top Partner,Alt- und Abfallstoffe,"Brandshofer Deich 33,",20539 Hamburg,040 35 58 14 46,
Auto Penkert Autoverwertung,Top Partner,Autoverwertung,"Daimlerstr. 33,",90441 Nürnberg,0911 6 68 94 68,
HVG Handels- und Vertriebsges. GmbH & Co. Logistik + Recycling KG,Top Partner,Logistik,"Schmiedestr. 14,",21709 Himmelpforten,04144 21 90-0,https://www.mht-spedition.de
Asal GmbH Schrott- & Metallgroßhandel,Top Partner,Entsorgungsbetriebe,"Heinrich‑Otto‑Str. 14,",73240 Wendlingen am Neckar,07024 70 73,http://www.asal-gmbh.de
Baker Haval,Top Partner,Autoverwertung,"Bundesstr. 256 1,",56637 Plaidt,02632 7 12 43,
Natursteinhaus Braun,Top Partner,Bausanierungen,"Hauptstraße 109,",56288 Alterkülz,06762 95 18 45,https://www.natursteinhaus.de
REMONDIS Emsdetten GmbH,Top Partner,Containervermietung,"Sternbusch 50,",48282 Emsdetten,02572 72 20,http://www.remondis-emsdetten.de
Votteler VSV Schottervertrieb GmbH,Top Partner,Erdbau,"Richard‑Silber‑Str. 2,",72793 Pfullingen,07121 7 15 69,https://www.vsv-votteler.de
WSA GmbH,Top Partner,Autoverwertung,"Grimbergstraße 85,",45889 Gelsenkirchen,0209 6 04 58 10,http://www.wsa-aufbereitung.de
Schrott,Top Partner,Schrott,,,,
BMW Vertragshändler Autohaus Timmermanns GmbH,Top Partner,Automobile,"Hammer Landstr. 17,",41460 Neuss,02131 7 18 72-0,
Gemeinde Langenbach,Top Partner,Stadt- und Gemeindeverwaltungen,"Bahnhofstr. 6,",85416 Langenbach,08761 74 20-0,http://www.gemeinde-langenbach.de
Harrje & Wehrmann GmbH,Top Partner,Gartenbedarf und -geräte,"Bördestr. 12,",27607 Langen,04743 2 76 03 00,http://www.recyclinghof-debstedt.de
Auto Becker Klausmann GmbH & Co.KG BMW u. Mini Vertragshändler Autohandel,Top Partner,Automobile,"Glockenspitz 123,",47800 Krefeld,02151 51 04-0,
Alois Bogenschütz Entsorgung und Recycling GmbH & Co.KG Containerdienst,Top Partner,Entsorgungsbetriebe,"Gewerbestr. 26,",72415 Grosselfingen,07476 9 41 90,
Kolb Franz GmbH & Co. KG Agrarprodukte Transporte Recycling Entsorgung,Top Partner,Transporte,"Bürgermeister‑Haas‑Str. 13,",89290 Buch,07343 55 01,
"MCR Mörtel-, Container- und Recycling-Dienst GmbH & Co. KG",Top Partner,Entsorgungsbetriebe,"Gummersbacher Str. 137,",51709 Marienheide,02261 6 10 10,
BÜCHL Entsorgungswirtschaft GmbH,Top Partner,Entsorgungsbetriebe,"Robert‑Bosch‑Str. 1‑5,",85053 Ingolstadt,0841 96 46-0,http://www.buechl.de
FEN Fahrzeugtechnik Vertriebs GmbH,Top Partner,Autoteile und -zubehör,"Teichstr. 11,",09366 Niederdorf,037296 55-0,
Nord-Schrott GmbH & Co. KG,Top Partner,Secondhandshops,"Lilienthalstr. 30,",24941 Flensburg,0461 50 34 00,http://www.nord-schrott.de
REMONDIS GmbH & Co. KG,Top Partner,Entsorgungsbetriebe,"Haus Forst,",50171 Kerpen Rheinland,02275 9 22 00,http://www.remondis-rheinland.de
Alba Schwarzwald GmbH Entsorgung und Recycling,Top Partner,Entsorgungsbetriebe,"Emil‑Maier‑Str. 9,",78655 Dunningen,07403 92 94-60,
Lausitzer Metallverwertung und Recycling GmbH,Top Partner,Logistik,"Magdeburger Str. 58,",01067 Dresden,0351 33 94-2 95,
Metall-Rohstoff Recycling Erhardt Molkenthin Schrotthandel Containerdienst u. Industriedemontage,Top Partner,Schrott,"Tangermünder Chaussee 12,",39517 Tangerhütte,03935 27 95,
Nehlsen AG,Top Partner,Entsorgungsbetriebe,"Pillnitzer Str. 7,",01454 Radeberg,03528 44 20 97,
Altmiks Schotter GmbH & Co. KG,Top Partner,Entsorgungsbetriebe,"Zur Lüre 48,",37671 Höxter,05271 88 86,
Küpper,Top Partner,Containerdienste,"Vogtstr. 4,",53773 Hennef (Sieg),02248 20 96,
Oerter Wolfram,Top Partner,Autoverwertung,"Am Schimberg 8,",35708 Haiger,02773 68 30,
R.R.S.-INTERNATIONAL GmbH,Top Partner,Industrieanlagenbau,"Dietrichstr. 11,",72250 Freudenstadt,07441 5 20 38 82,https://www.rrs-international.de
Scheibel Josef GmbH & Co. KG Zentrale - Büro,Top Partner,Bauunternehmen,"Augsburger Str. 7  1/2,",87629 Füssen,08362 50 76-0,
Schock Fenster GmbH,Top Partner,Fenster,"Braasstr. 7,",31737 Rinteln,05751 96 47-0,https://www.schock-fenster.de
Stinner Baustoffe-Transporte-Containerdienst GmbH,Top Partner,Baubedarf,"Wissener Str. 108,",51597 Morsbach,02294 5 75,
Veolia Umweltservice Nord GmbH Container,Top Partner,Container,"Eckernförder Landstr. 300,",24941 Flensburg,0461 9 03 66-11,
Veolia Umweltservice Süd GmbH & Co. KG Entsorgungsservice,Top Partner,Entsorgungsbetriebe,"Kleiststr. 2A,",75177 Pforzheim,07231 5 80 37-0,http://www.veolia.de
Benninger,Top Partner,Container,"An den Gewerbewiesen 22,",67374 Hanhofen,06344 9 26 44 11,
bmk Steinbruchbetriebe GmbH & Co. KG,Top Partner,Steinbrüche,"Robert‑Bopp‑Straße 2,",74388 Talheim,07133 18 60,http://www.bmk-steinbruchbetrieb.com
"Damm GmbH & Co. KG, Willi Container",Top Partner,Container,"Vor dem Bockholt,",23883 Grambek,04542 80 08 88,
Fehr Johannes Müllabfuhr und Grubenentleerung KG,Top Partner,Entsorgungsbetriebe,"Albert‑Viertel‑Str. 16,",09217 Burgstädt,03724 1 55 41,
Gruber Tiefbau,Top Partner,Bauunternehmen,"Auhofer Str. 5,",91161 Hilpoltstein,09174 47 46-0,
Reifenservice Matzen e. K. Reifen,Top Partner,Reifen,"Beim Umspannwerk 153,",22844 Norderstedt,040 53 53 53 62,
Wertstoffhof der AW SAS-AöR,Top Partner,Wertstoffhöfe,"Hallesche Str. 60,",06618 Naumburg,03445 77 77 83,http://www.zawsas.de
Wolf GmbH Otto,Top Partner,Abbrucharbeiten,"Laischeweg 9,",38554 Weyhausen,05362 97 89-0,http://www.otto-wolf.de
Abschlepp- und Bergungsdienst Wahrendorf,Top Partner,Abschleppdienste,"An der Ritterstr. 1,",39221 Eggersdorf,0171 3 83 38 34,http://www.wahrendorf-gruppe.de
REMONDIS Brandenburg GmbH,Top Partner,Abfallentsorgung,"Birkenweg 20,",01983 Großräschen,035753 63 90,http://www.remondis-ost.de
Schirmag,Top Partner,Containerdienste,"Landsberger Str. 39,",04736 Waldheim,034327 6 26-26,
Brandau Hans-Dieter Dipl.-Ing. Sachverständiger für Maschinenbau und Recycling,Top Partner,Sachverständige,"Oranienburger Str. 150A,",13437 Berlin,030 4 03 81 90,
Schrottys Metallhandel Inh. Karl-Georg Lasarsch Recycling u. Lasarsch Georg,Top Partner,Metalle und Metallhalbzeuge,"Karl‑Marx‑Str. 46,",06420 Könnern,034692 2 80 66,
Gorsler GmbH & Co. KG,Top Partner,Schrott,"Carl‑Zeiss‑Str. 1,",36304 Alsfeld,06631 9 63 20,
Skatan LLC - Upcycling & Unique Skateboard Wood Shop,Top Partner,Design,"Hansaring 29,",48155 Münster,0157 77 25 05 69,https://skatan-llc.com
Steinbach,Top Partner,Schrott,"Bahnhofstr. 15,",32130 Enger,01577 4 62 34 34,
Wertstoffhof Silberbergweg,Top Partner,Wertstoffhöfe,"Silberbergweg 18,",39128 Magdeburg,0391 2 88 65 99,https://www.magdeburg.de
BMG Reifen- und Autoservice GmbH & Co.KG,Top Partner,Autoreparaturen,"Dieterichsstr. 9,",29525 Uelzen,0581 9 73 94 94,
Entsorgung Punkt DE GmbH Entsorgungsbetrieb,Top Partner,Entsorgungsbetriebe,"Rosenfelder Str. 15,",10315 Berlin,030 50 15 93 15,http://www.schrott.de
ERKO Wertstoff und Recycling GmbH,Top Partner,Alt- und Abfallstoffe,,,,
Bührer GmbH,Top Partner,Abbrucharbeiten,"Mühlenstr. 4,",68169 Mannheim,0621 32 30-0,http://www.buehrer-gruppe.de/
Baumann G.,Top Partner,Entsorgungsbetriebe,"Schnellermaarstr. 54b,",50354 Hürth,02233 93 48 40,
Iwersen GmbH & Co. KG,Top Partner,Bauunternehmen,"Eiskellerweg 3,",24398 Brodersby,04644 13 88,http://www.iwersen.info
SCHUH OKAY- GESCHLOSSEN,Top Partner,Bekleidung,"Oststraße 36,",59227 Ahlen Westfalen,02382 80 32 25,https://www.schuh-okay.de/?utm_source=extnet&utm_medium=yext
WUB Wertstoff-Union Berlin GmbH,Top Partner,Abfallentsorgung,"Lahnstraße 31,",12055 Berlin,030 68 28 20,http://www.wertstoffunion.de
ENREBA Neuss GmbH,Top Partner,Entsorgungsbetriebe,"Blindeisenweg 10,",41468 Neuss,02131 34 60 20,
MSW Metallhandel  Südwest GmbH,Top Partner,Schrott,"Engesserstr. 5,",79108 Freiburg,0761 5 04 41-0,http://www.alba.info
ALBA Metall Süd Rhein-Main GmbH Schrottgroßhandel,Top Partner,Schrott,"Hafenkopfstr. 7,",63741 Aschaffenburg,06021 8 01 00,
Bartsch GmbH & Co. KG,Top Partner,Container,"Marienstr. 26,",33332 Gütersloh,05241 90 26-0,http://www.bartsch-entsorgung.de
Blue City - GmbH,Top Partner,Elektronik,"Pettenkoferstr. 16,",10247 Berlin,0176 41 64 90 66,https://www.bluecity.de
EBM Alfons Bauer Schrottverwertung Muldenverleih,Top Partner,Schrott,"Am Scherrweiher 2,",95615 Marktredwitz,,
Schmid Alfons,Top Partner,Erdbau,"Dippenricht 2,",92361 Berngau,09179 58 30,
WH Office Systems GmbH,Top Partner,Bürobedarf,"Bauhofstr. 4,",90571 Schwaig,0911 46 20 62 38,
Autoteile San Autoteile,Top Partner,Autoteile und -zubehör,"Karolinenstr. 146,",90763 Fürth,0911 9 70 82-0,
Oberste-Hedbleck GmbH,Top Partner,Container,"Kohlenstr. 39,",42389 Wuppertal,0202 60 34 80,
Oberste-Hedtbleck GmbH Frank Oberste-Hedtbleck,Top Partner,Container,"Kohlenstr. 39,",42389 Wuppertal,0172 2 17 26 60,
ELNO Container und Dienstleistungs GmbH,Top Partner,Container,"Tiefenwerderweg 13,",13597 Berlin,030 2 06 14 29 60,http://www.elno-container.de
Altfett Lesch,Top Partner,Entsorgungsbetriebe,"Äußere Nürnberger Str. 1,",91177 Thalmässing,09173 8 74,
Auto-Hammerbacher OHG,Top Partner,Abschleppdienste,"Landwehrstr. 20,",97249 Eisingen,09306 90 79-0,
EBM Bauer GmbH,Top Partner,Schrott,"Am Scherrweiher 2,",95615 Marktredwitz,09231 9 52 82-0,
Fußner Arno Biomassehof,Top Partner,Entsorgungsbetriebe,"Stockstädter Str. 100,",63762 Großostheim,06026 26 91,
KRÄTZ GmbH,Top Partner,Entsorgungsbetriebe,"An der Autobahn 7,",92331 Parsberg,09472 90 71 07,
Lesch GmbH & Co. KG Altfettentsorgung,Top Partner,Entsorgungsbetriebe,"Äußere Nürnberger Str. 1,",91177 Thalmässing,09173 8 74,
Lotter Judith Schmuckdesign,Top Partner,Schmuckbe- und -verarbeitung,"Lange Str. 22,",20359 Hamburg,040 5 53 72 07,
Schneider & Sohn GmbH & Co. KG,Top Partner,Schrott,"Gewerbepark 14,",91578 Leutershausen,09823 4 37,
